Date,Time,Country,League,Home,Away,Odd_H,Odd_D,Odd_A
13.01.2025,05:30,INDIA,I-LEAGUE - ROUND 8,Namdhari,Inter Kashi,2.1,3.3,3.4
13.01.2025,06:30,MYANMAR,NATIONAL LEAGUE - ROUND 15,Ayeyawady,Ispe FC,1.31,5.25,8.75
13.01.2025,07:00,WORLD,CLUB FRIENDLY,Hvidovre IF (Den),AB Copenhagen (Den),1.95,3.4,3.7
13.01.2025,08:00,INDIA,I-LEAGUE - ROUND 8,Lajong,SC Bengaluru,2.1,3.3,3.4
13.01.2025,08:00,ITALY,PRIMAVERA 1 - ROUND 19,Verona U20,Lecce U20,1.85,3.3,4.33
13.01.2025,08:30,IRAQ,STARS LEAGUE - ROUND 14,Al-Hudod,Diyala,2.1,3.3,3.4
13.01.2025,08:30,IRAQ,STARS LEAGUE - ROUND 14,Al-Qassim,Karbala,2.1,3.3,3.4
13.01.2025,09:00,INDONESIA,LIGA 1 - ROUND 18,Persis Solo,PSM Makassar,2.1,3.3,3.4
13.01.2025,09:00,ETHIOPIA,PREMIER LEAGUE - ROUND 14,St. George,Shire Endaselassie,1.31,5.75,9.0
13.01.2025,09:00,WORLD,CLUB FRIENDLY,Widzew Lodz (Pol),Dyn. Kyiv (Ukr),1.95,3.4,3.7
13.01.2025,09:15,SINGAPORE,PREMIER LEAGUE - ROUND 22,DPMM,Lion City,7.0,4.5,1.33
13.01.2025,09:30,SOMALIA,NATIONAL LEAGUE - ROUND 6,Dekedda,Mogadishu City,7.0,4.5,1.33
13.01.2025,10:00,GREECE,SUPER LEAGUE 2 - ROUND 15,Niki Volos,Ethnikos Neou,2.1,3.3,3.4
13.01.2025,10:00,WORLD,CLUB FRIENDLY,Din. Bucuresti (Rou),Novi Pazar (Srb),1.95,3.4,3.7
13.01.2025,10:00,ITALY,PRIMAVERA 1 - ROUND 19,Torino U20,AS Roma U20,1.85,3.3,4.33
13.01.2025,10:00,WORLD,CLUB FRIENDLY,FC Botosani (Rou),Radnicki 1923 (Srb),1.95,3.4,3.7
13.01.2025,10:00,BRAZIL,COPINHA - PLAY OFFS - 1/32-FINALS,Ibrachina U20,Barra FC U20,1.9,3.5,4.1
13.01.2025,10:00,WORLD,CLUB FRIENDLY,Paderborn (Ger),Verl (Ger),1.95,3.4,3.7
13.01.2025,10:00,WORLD,CLUB FRIENDLY,Vojvodina (Srb),Termez Surkhon (Uzb),1.95,3.4,3.7
13.01.2025,10:00,WORLD,CLUB FRIENDLY,Cukaricki (Srb),Yelimay Semey (Kaz),1.95,3.4,3.7
13.01.2025,11:00,TURKEY,1. LIG - ROUND 19,Corum,Istanbulspor AS,2.3,3.2,3.0
13.01.2025,11:00,IRAQ,STARS LEAGUE - ROUND 14,Al Minaa,Naft Al-Basra,2.1,3.3,3.4
13.01.2025,11:00,INDIA,ISL - ROUND 17,Kerala Blasters,Odisha FC,2.1,3.3,3.4
13.01.2025,11:00,WORLD,CLUB FRIENDLY WOMEN,Wolfsburg W (Ger),Twente W (Ned),1.95,3.4,3.7
13.01.2025,11:00,BRAZIL,COPINHA - PLAY OFFS - 1/32-FINALS,Sport Recife U20,Oeste U20,1.9,3.5,4.1
13.01.2025,11:00,BRAZIL,COPINHA - PLAY OFFS - 1/32-FINALS,Piracicaba U20,Ceara U20,1.9,3.5,4.1
13.01.2025,11:00,BRAZIL,COPINHA - PLAY OFFS - 1/32-FINALS,Gremio U20,Marcilio Dias U20,1.9,3.5,4.1
13.01.2025,11:00,BRAZIL,COPINHA - PLAY OFFS - 1/32-FINALS,Flamengo SP U20,Nautico U20,1.9,3.5,4.1
13.01.2025,11:00,BRAZIL,COPINHA - PLAY OFFS - 1/32-FINALS,Goias U20,Vitoria da Conquista U20,1.9,3.5,4.1
13.01.2025,11:40,KUWAIT,PREMIER LEAGUE - ROUND 11,Al Kuwait,Al-Fahaheel,1.85,3.3,4.33
13.01.2025,12:00,ETHIOPIA,PREMIER LEAGUE - ROUND 14,Arba Menche,Adama City,1.31,5.75,9.0
13.01.2025,12:00,ITALY,PRIMAVERA 1 - ROUND 19,Sampdoria U20,Genoa U20,1.85,3.3,4.33
13.01.2025,12:00,WORLD,CLUB FRIENDLY,Wolfsberger AC (Aut),DVTK (Hun),1.95,3.4,3.7
13.01.2025,12:00,GHANA,DIVISION ONE LEAGUE - ROUND 16,Yapei,Real Tamale,1.31,5.75,9.0
13.01.2025,12:00,GHANA,DIVISION ONE LEAGUE - ROUND 16,Walewale,Northern City,1.31,5.75,9.0
13.01.2025,12:00,GHANA,DIVISION ONE LEAGUE - ROUND 16,Tamale City,Wa Power,1.31,5.75,9.0
13.01.2025,12:00,GHANA,DIVISION ONE LEAGUE - ROUND 16,Sore Nante,VC Warriors,1.31,5.75,9.0
13.01.2025,12:15,NIGER,SUPER LIGUE - ROUND 10,Police,AS UAM,2.1,3.8,2.75
13.01.2025,12:15,NIGER,SUPER LIGUE - ROUND 10,Sahel,US Gendarmerie,2.1,3.8,2.75
13.01.2025,12:30,GREECE,SUPER LEAGUE 2 - ROUND 15,Giannina,PAOK B,2.1,3.3,3.4
13.01.2025,13:00,GREECE,SUPER LEAGUE - ROUND 18,Asteras Tripolis,Panetolikos,2.05,3.1,3.6
13.01.2025,13:00,GUINEA,LIGUE 1 - ROUND 2,Ashanti GB,Kaloum Star,2.1,3.3,3.4
13.01.2025,13:00,GUINEA,LIGUE 1 - ROUND 2,RCC Kamsar,Foot Elite,2.1,3.3,3.4
13.01.2025,13:00,GAMBIA,GFA LEAGUE - ROUND 6,Banjul Utd,Fortune,1.31,5.75,9.0
13.01.2025,13:00,GREECE,SUPER LEAGUE - ROUND 18,OFI Crete,Levadiakos,2.1,3.3,3.4
13.01.2025,13:30,CYPRUS,CYPRUS LEAGUE - ROUND 18,Karmiotissa,Omonia Aradippou,1.9,3.5,4.1
13.01.2025,14:00,ITALY,PRIMAVERA 1 - ROUND 19,Inter U20,Sassuolo U20,1.85,3.3,4.33
13.01.2025,14:00,TURKEY,SUPER LIG - ROUND 19,Goztepe,Kasimpasa,1.98,3.5,3.5
