Date,Time,Country,League,Home,Away,Odd_H,Odd_D,Odd_A
09.01.2025,05:00,AUSTRALIA,A-LEAGUE WOMEN - ROUND 9,WS Wanderers W,Wellington Phoenix W,3.6,3.4,1.91
09.01.2025,07:00,WORLD,FRIENDLY INTERNATIONAL WOMEN,Spain U17 W,Germany U17 W,26.0,13.5,1.04
09.01.2025,07:00,WORLD,FRIENDLY INTERNATIONAL WOMEN,Spain U16 W,Germany U16 W,26.0,13.5,1.04
09.01.2025,07:00,INDIA,I-LEAGUE - ROUND 7,Rajasthan United,SC Bengaluru,2.4,3.3,2.62
09.01.2025,07:00,TURKEY,TURKISH CUP - ROUND 1,Erzurumspor,Goztepe,3.3,3.3,2.05
09.01.2025,08:00,ASIA,ASEAN CLUB CHAMPIONSHIP - ROUND 3,Kaya,Cong An Ha Noi,9.25,6.25,1.2
09.01.2025,08:00,WORLD,CLUB FRIENDLY,Maribor (Slo),Istra 1961 (Cro),1.65,4.6,3.6
09.01.2025,08:00,WORLD,CLUB FRIENDLY,Hajduk Split (Cro),VfL Osnabruck (Ger),1.65,4.6,3.6
09.01.2025,08:30,IRAQ,STARS LEAGUE - ROUND 13,Al Karkh,Al-Qassim,2.45,2.6,3.0
09.01.2025,08:30,IRAQ,STARS LEAGUE - ROUND 13,Naft Missan,Al-Hudod,1.57,3.3,5.75
09.01.2025,08:45,ASIA,ASEAN CLUB CHAMPIONSHIP - ROUND 3,Lion City,Kuala Lumpur City,1.92,3.64,3.3
09.01.2025,09:00,ETHIOPIA,PREMIER LEAGUE - ROUND 13,Mekelle 70 Enderta F.C.,Welwalo Adigrat,1.7,3.2,4.75
09.01.2025,09:00,WORLD,CLUB FRIENDLY,Zurich (Sui),Schalke (Ger),1.65,4.6,3.6
09.01.2025,09:00,WORLD,CLUB FRIENDLY,Debrecen (Hun),UTA Arad (Rou),1.65,4.6,3.6
09.01.2025,09:30,TURKEY,TURKISH CUP - ROUND 1,Corum,Konyaspor,3.9,3.4,1.8
09.01.2025,09:30,SOMALIA,NATIONAL LEAGUE - ROUND 6,Jeenyo,Raadsan,9.0,5.5,1.3
09.01.2025,09:30,EGYPT,EGYPT CUP - 1/16-FINALS,Zamalek,Abu Qir Semad,1.3,4.6,9.0
09.01.2025,09:30,ASIA,ASEAN CLUB CHAMPIONSHIP - ROUND 3,Buriram,Borneo,1.29,5.25,7.25
09.01.2025,10:00,OMAN,PROFESSIONAL LEAGUE - ROUND 7,Al-Rustaq,Sur Club,2.38,2.8,3.0
09.01.2025,10:00,OMAN,PROFESSIONAL LEAGUE - ROUND 7,Ibri,Saham,2.38,2.8,3.1
09.01.2025,10:00,LIBYA,PREMIER LEAGUE - ROUND 6,Al Borouq,Al Nasr,7.0,3.9,1.4
09.01.2025,10:00,LIBYA,PREMIER LEAGUE - ROUND 6,Al Ansar,Al-Suqoor,7.0,3.9,1.4
09.01.2025,10:00,UGANDA,BIG LEAGUE,Gadaffi,Paidha Black Angels,29.0,12.0,1.06
09.01.2025,10:00,WORLD,FRIENDLY INTERNATIONAL,Uruguay U20,Bolivia U20,1.06,13.0,23.0
09.01.2025,10:00,WORLD,CLUB FRIENDLY,Osijek (Cro),Opatija (Cro),1.25,4.75,9.5
09.01.2025,10:00,WORLD,FRIENDLY INTERNATIONAL,Germany U17,Portugal U17,1.06,13.0,23.0
09.01.2025,10:30,LIBYA,PREMIER LEAGUE - ROUND 6,Abu Salim,Al Nahda,7.0,3.9,1.4
09.01.2025,10:30,ITALY,COPPA ITALIA PRIMAVERA - 1/8-FINALS,Lazio U19,Juventus U19,5.75,3.3,1.57
09.01.2025,10:30,INDIA,I-LEAGUE - ROUND 7,Aizawl,Sreenidi Deccan,4.0,3.4,1.8
09.01.2025,11:00,WORLD,FRIENDLY INTERNATIONAL,Germany U16,Portugal U16,1.06,13.0,23.0
09.01.2025,11:00,ITALY,COPPA ITALIA PRIMAVERA - 1/8-FINALS,Sassuolo U19,Verona U19,1.82,3.74,3.76
09.01.2025,11:00,WORLD,CLUB FRIENDLY,Dusseldorf (Ger),Bodo/Glimt (Nor),2.62,3.7,2.2
09.01.2025,11:00,WORLD,CLUB FRIENDLY,FC Santa Coloma (And),Etoile-Carouge (Sui),2.62,3.7,2.2
09.01.2025,11:00,WORLD,CLUB FRIENDLY,Gloria Buzau (Rou),Turan (Aze),2.62,3.7,2.2
09.01.2025,11:00,WORLD,CLUB FRIENDLY,Paderborn (Ger),Plzen (Cze),2.9,3.6,1.98
09.01.2025,11:00,WORLD,CLUB FRIENDLY,Shakhtar Donetsk (Ukr),D. Zagreb (Cro),2.9,3.6,1.98
09.01.2025,11:00,INDIA,ISL - ROUND 16,Chennaiyin,Odisha FC,2.15,3.4,2.9
09.01.2025,11:00,IRAQ,STARS LEAGUE - ROUND 13,Naft Al-Basra,Newroz,3.1,2.87,2.2
09.01.2025,11:20,OMAN,PROFESSIONAL LEAGUE - ROUND 7,Al Nahda,Al Seeb,3.3,2.8,2.25
09.01.2025,11:35,KUWAIT,PREMIER LEAGUE - ROUND 10,Al Tadamon,Yarmouk,1.67,3.6,4.6
09.01.2025,11:45,SAUDI ARABIA,SAUDI PROFESSIONAL LEAGUE - ROUND 14,Al Fateh,Al Wehda,2.25,3.3,2.62
09.01.2025,12:00,SAUDI ARABIA,SAUDI PROFESSIONAL LEAGUE - ROUND 14,Al Riyadh,Al Khaleej,2.4,3.0,2.75
09.01.2025,12:00,GREECE,GREEK CUP - QUARTER-FINALS,Panachaiki,OFI Crete,5.5,3.5,1.6
09.01.2025,12:00,ETHIOPIA,PREMIER LEAGUE - ROUND 13,Adama City,St. George,3.3,2.86,2.15
09.01.2025,12:00,TURKEY,TURKISH CUP - ROUND 1,Gaziantep,Istanbulspor AS,1.7,3.8,4.0
09.01.2025,12:15,NIGER,SUPER LIGUE - ROUND 9,Olympic Niamey,Police,1.07,10.0,29.0
09.01.2025,12:45,BRAZIL,COPINHA - ROUND 3,CE Forca E Luz U20,Operario PR U20,13.0,7.0,1.14
09.01.2025,13:00,GUINEA,LIGUE 1 - ROUND 1,Horoya,RCC Kamsar,2.3,3.1,2.9
09.01.2025,13:00,GUINEA,LIGUE 1 - ROUND 1,Milo FC,Kaloum Star,2.3,3.1,2.9
09.01.2025,13:00,LIBYA,PREMIER LEAGUE - ROUND 6,Asswehly,Al Bashaer,7.0,3.9,1.4
09.01.2025,13:00,BRAZIL,COPINHA - ROUND 3,Operario AC U20,Juventude U20,7.5,5.0,1.28
09.01.2025,13:00,BRAZIL,COPINHA - ROUND 3,Hercilio Luz U20,Dom Bosco U20,1.72,3.5,3.9
09.01.2025,13:00,GUINEA,LIGUE 1 - ROUND 1,Sangaredi,Foot Elite,2.3,3.1,2.9
09.01.2025,13:00,LIBERIA,LFA FIRST DIVISION - ROUND 15,Global Pharma,LPRC Oiler,7.0,3.9,1.4
09.01.2025,13:00,WORLD,CLUB FRIENDLY,Treibach (Aut),Wolfsberger AC (Aut),26.0,13.5,1.04
09.01.2025,13:00,BRAZIL,COPINHA - ROUND 3,Botafogo SP U20,Tuna Luso U20,1.33,4.2,7.5
09.01.2025,13:00,BRAZIL,COPINHA - ROUND 3,Agua Santa U20,Brasiliense U20,1.8,3.4,3.8
09.01.2025,13:00,BAHRAIN,PREMIER LEAGUE - ROUND 8,Sitra,Malkia,2.15,3.1,3.1
09.01.2025,13:00,BAHRAIN,PREMIER LEAGUE - ROUND 8,Al-Ahli Manama,East Riffa,1.62,3.6,4.8
09.01.2025,13:00,BRAZIL,COPINHA - ROUND 3,EC Sao Jose U20,Retro U20,2.15,3.25,2.9
09.01.2025,13:30,IRAQ,STARS LEAGUE - ROUND 13,Diyala,Zakho,5.75,3.3,1.57
09.01.2025,13:50,KUWAIT,PREMIER LEAGUE - ROUND 10,Al Qadisiya,Al Kuwait,7.0,3.9,1.4
09.01.2025,14:00,SAUDI ARABIA,SAUDI PROFESSIONAL LEAGUE - ROUND 14,Al Nassr,Al Okhdood,1.25,5.0,9.0
09.01.2025,14:30,GREECE,GREEK CUP - QUARTER-FINALS,PAOK,AEK Athens FC,2.3,3.1,2.9
09.01.2025,14:30,TURKEY,TURKISH CUP - ROUND 1,Kasimpasa,Fenerbahce,29.0,12.0,1.06
09.01.2025,14:45,BRAZIL,COPINHA - ROUND 3,Nautico FC U20,Santa Cruz U20,7.5,5.0,1.28
09.01.2025,15:00,BRAZIL,COPINHA - ROUND 3,Tanabi U20,Santa Cruz U20,4.0,3.9,1.65
09.01.2025,15:15,BRAZIL,COPINHA - ROUND 3,Comercial U20,Vitoria U20,4.0,3.5,1.75
09.01.2025,15:15,BRAZIL,COPINHA - ROUND 3,Tupa U20,CRB U20,4.2,4.0,1.6
09.01.2025,15:15,BRAZIL,COPINHA - ROUND 3,Desportivo U20,Coritiba U20,2.86,3.1,2.25
09.01.2025,15:15,BRAZIL,COPINHA - ROUND 3,Bandeirante U20,Azuriz U20,3.7,3.7,1.75
09.01.2025,15:15,BRAZIL,COPINHA - ROUND 3,Comercial FC - Tiete U20,America RN U20,2.2,3.3,2.8
09.01.2025,16:00,SPAIN,SUPER CUP - SEMI-FINALS,Real Madrid,Mallorca,1.35,4.8,8.5
09.01.2025,16:00,ICELAND,REYKJAVIK CUP - ROUND 2,Leiknir,IR Reykjavik,2.7,3.8,2.1
09.01.2025,16:00,ENGLAND,FA CUP - 1/32-FINALS,Sheffield Utd,Cardiff,1.85,3.4,4.0
09.01.2025,16:30,BELGIUM,BELGIAN CUP - QUARTER-FINALS,Beerschot VA,Anderlecht,5.0,4.0,1.57
09.01.2025,16:45,ENGLAND,FA CUP - 1/32-FINALS,Everton,Peterborough,1.3,5.5,9.0
09.01.2025,16:45,ENGLAND,FA CUP - 1/32-FINALS,Fulham,Watford,1.3,5.0,9.5
09.01.2025,16:45,BRAZIL,COPINHA - ROUND 3,Inter de Limeira U20,Coimbra U20,2.0,3.6,3.0
09.01.2025,16:45,BRAZIL,COPINHA - ROUND 3,Tirol U20,Jacioba U20,2.0,3.6,3.0
09.01.2025,16:45,WALES,PREMIER WOMEN - ROUND 8,Briton Ferry W,Aberystwyth W,1.06,13.0,23.0
09.01.2025,17:00,BRAZIL,COPINHA - ROUND 3,Oeste U20,Palmeiras U20,8.0,4.75,1.3
09.01.2025,17:00,SCOTLAND,PREMIERSHIP - ROUND 11,Dundee FC,Rangers,9.0,5.5,1.3
09.01.2025,18:00,WORLD,CLUB FRIENDLY,Wanderers (Uru),Colo Colo (Chi),26.0,13.5,1.04
09.01.2025,18:45,BRAZIL,COPINHA - ROUND 3,Ferroviario U20,Mazagao U20,1.44,4.5,5.0
09.01.2025,19:00,BRAZIL,COPINHA - ROUND 3,Linense U20,Fluminense U20,3.9,3.8,1.66
09.01.2025,19:00,BRAZIL,COPINHA - ROUND 3,Ferroviaria U20,Santos U20,3.6,3.6,1.8
09.01.2025,19:00,WORLD,FRIENDLY INTERNATIONAL,Colombia U20,Peru U20,1.06,13.0,23.0
09.01.2025,19:15,BRAZIL,COPINHA - ROUND 3,Guarani U20,Nova Iguacu U20,1.9,3.4,3.4
09.01.2025,20:00,MEXICO,LIGA MX WOMEN - CLAUSURA - ROUND 2,Toluca W,Mazatlan FC W,1.07,10.0,29.0
09.01.2025,21:00,MARTINIQUE,TROPHEE GERARD JANVION - ROUND 7,Club Peleen,Trenelle,7.0,3.9,1.4
