Date,Time,Country,League,Home,Away,Odd_H,Odd_D,Odd_A
12.01.2025,00:05,MEXICO,LIGA MX - CLAUSURA - ROUND 1,Cruz Azul,Atlas,1.34,5.0,8.25
12.01.2025,00:05,MEXICO,LIGA DE EXPANSION MX - CLAUSURA - ROUND 1,Dorados de Sinaloa,Zacatecas Mineros,1.53,4.1,5.5
12.01.2025,03:00,AUSTRALIA,A-LEAGUE - ROUND 13,Newcastle Jets,Macarthur FC,2.6,3.6,2.45
12.01.2025,03:00,AUSTRALIA,A-LEAGUE WOMEN - ROUND 11,WS Wanderers W,Central Coast Mariners W,2.3,3.3,2.55
12.01.2025,03:30,AUSTRALIA,A-LEAGUE WOMEN - ROUND 11,Adelaide W,Wellington Phoenix W,2.15,3.1,3.0
12.01.2025,04:00,HONG KONG,PREMIER LEAGUE - ROUND 12,North District,Kowloon City,1.15,8.0,16.0
12.01.2025,04:30,INDIA,I-LEAGUE - ROUND 8,Delhi FC,Rajasthan United,1.15,8.0,16.0
12.01.2025,05:00,WORLD,CLUB FRIENDLY,Zurich (Sui),Fethiyespor (Tur),1.65,3.5,4.4
12.01.2025,05:30,HONG KONG,PREMIER LEAGUE - ROUND 12,Hong Kong FC,Eastern AA,1.15,8.0,16.0
12.01.2025,05:30,INDONESIA,LIGA 1 - ROUND 18,Persita,PSIS Semarang,1.15,8.0,16.0
12.01.2025,05:30,LAOS,LAO LEAGUE - ROUND 9,Champasak United,Lao Army FC,2.55,3.2,2.7
12.01.2025,05:30,LAOS,LAO LEAGUE - ROUND 9,Master 7,Viengchanh,2.55,3.2,2.7
12.01.2025,05:30,LAOS,LAO LEAGUE - ROUND 9,Namtha United,Ezra,2.55,3.2,2.7
12.01.2025,06:00,WORLD,CLUB FRIENDLY,Univ. Craiova (Rou),Poli Iasi (Rou),1.65,3.5,4.4
12.01.2025,06:00,MYANMAR,NATIONAL LEAGUE - ROUND 15,Shan Utd,Thitsar Arman,1.53,4.1,5.5
12.01.2025,06:15,MALAYSIA,SUPER LEAGUE - ROUND 18,Selangor,Kuala Lumpur City,2.55,3.2,2.7
12.01.2025,06:15,WORLD,CLUB FRIENDLY,Admira Prague (Cze),Zivanice (Cze),1.65,3.5,4.4
12.01.2025,06:30,MYANMAR,NATIONAL LEAGUE - ROUND 15,Yadanarbon,Hantharwady Utd,1.53,4.1,5.5
12.01.2025,06:45,GREECE,SUPER LEAGUE 2 - ROUND 15,Panionios,Panachaiki,1.15,8.0,16.0
12.01.2025,07:00,MALTA,FA TROPHY - 1/16-FINALS,Lija,Zabbar,2.55,3.2,2.7
12.01.2025,07:00,KENYA,PREMIER LEAGUE - ROUND 17,Ulinzi Stars,Mara Sugar,2.55,3.2,2.7
12.01.2025,07:00,INDIA,I-LEAGUE - ROUND 8,Churchill Brothers,Aizawl,1.15,8.0,16.0
12.01.2025,07:00,ITALY,PRIMAVERA 1 - ROUND 19,Lazio U20,Juventus U20,2.55,3.2,2.7
12.01.2025,07:00,FRANCE,COUPE DE FRANCE WOMEN - 1/16-FINALS,Toulouse W,Nice W,1.78,3.9,4.2
12.01.2025,07:00,WORLD,CLUB FRIENDLY,Pakhtakor (Uzb),D. Zagreb (Cro),1.65,3.5,4.4
12.01.2025,07:00,WORLD,CLUB FRIENDLY,Primorje (Slo),Gorica (Cro),1.65,3.5,4.4
12.01.2025,07:00,WORLD,CLUB FRIENDLY,Nurnberg (Ger),Ingolstadt (Ger),1.65,3.5,4.4
12.01.2025,07:30,TURKEY,1. LIG - ROUND 19,Keciorengucu,Kocaelispor,3.0,3.2,2.1
12.01.2025,07:30,TURKEY,SUPER LIG - ROUND 19,Sivasspor,Alanyaspor,2.65,3.3,2.5
12.01.2025,07:30,TURKEY,1. LIG - ROUND 19,Erzurumspor,Sanliurfaspor,1.6,3.5,4.75
12.01.2025,08:00,SPAIN,PRIMERA RFEF - GROUP 2 - ROUND 19,Yeclano,Ceuta,1.8,3.2,4.4
12.01.2025,08:00,SPAIN,PRIMERA RFEF - GROUP 2 - ROUND 19,UD Ibiza,Recreativo Huelva,1.8,3.2,4.4
12.01.2025,08:00,THAILAND,THAI LEAGUE 1 - ROUND 16,Rayong FC,Pathum United,1.8,3.2,4.4
12.01.2025,08:00,SPAIN,PRIMERA RFEF - GROUP 1 - ROUND 19,R. Union,Zamora,1.8,3.2,4.4
12.01.2025,08:00,SPAIN,PRIMERA RFEF - GROUP 1 - ROUND 19,Ath Bilbao B,Barakaldo,1.8,3.2,4.4
12.01.2025,08:00,CAMBODIA,CPL,Svay Rieng,Boeung Ket,3.1,3.25,2.05
12.01.2025,08:00,CAMBODIA,CPL,Phnom Penh Crown,NagaWorld,3.1,3.25,2.05
12.01.2025,08:00,CAMBODIA,CPL,Life FC,Kirivong Sok Sen Chey,3.1,3.25,2.05
12.01.2025,08:00,THAILAND,THAI LEAGUE 1 - ROUND 16,Chiangrai Utd,Port MTI FC,1.8,3.2,4.4
12.01.2025,08:00,MAURITIUS,SUPER LEAGUE - ROUND 5,Entente Boulet,Grande Riviere,2.55,3.2,2.7
12.01.2025,08:00,MAURITIUS,SUPER LEAGUE - ROUND 5,Petite Riviere,Pamplemousses,2.55,3.2,2.7
12.01.2025,08:00,WORLD,CLUB FRIENDLY,Yverdon (Sui),Etoile-Carouge (Sui),1.65,3.5,4.4
12.01.2025,08:00,WORLD,CLUB FRIENDLY,Banga (Ltu),Grobina (Lat),1.65,3.5,4.4
12.01.2025,08:00,PORTUGAL,LIGA 3 - ROUND 16,1º Dezembro,Sporting CP B,2.5,3.0,2.55
12.01.2025,08:00,MAURITIUS,SUPER LEAGUE - ROUND 5,Port Louis,Chebel Citizens,2.55,3.2,2.7
12.01.2025,08:00,PORTUGAL,LIGA PORTUGAL 2 - ROUND 16,Felgueiras,Pacos Ferreira,1.95,3.1,3.4
12.01.2025,08:00,PORTUGAL,LIGA PORTUGAL 2 - ROUND 16,Academico Viseu,Vizela,2.37,3.0,2.65
12.01.2025,08:00,SPAIN,LIGA F WOMEN - ROUND 14,Valencia W,Real Sociedad W,1.8,3.2,4.4
12.01.2025,08:00,SPAIN,LIGA F WOMEN - ROUND 14,Atl. Madrid W,Levante W,1.8,3.2,4.4
12.01.2025,08:15,NETHERLANDS,EREDIVISIE - ROUND 18,Twente,Willem II,1.51,4.4,6.0
12.01.2025,08:15,NETHERLANDS,EERSTE DIVISIE - ROUND 21,Telstar,Jong PSV,1.44,4.6,5.5
12.01.2025,08:15,GREECE,SUPER LEAGUE 2 - ROUND 15,Diagoras,Iraklis 1908,1.15,8.0,16.0
12.01.2025,08:30,ITALY,SERIE A WOMEN - ROUND 14,AC Milan W,Napoli W,2.55,3.2,2.7
12.01.2025,08:30,ITALY,PRIMAVERA 1 - ROUND 19,Monza U20,Bologna U20,2.55,3.2,2.7
12.01.2025,08:30,ITALY,SERIE C - GROUP B - ROUND 22,AC Milan U23,Torres,2.55,3.2,2.7
12.01.2025,08:30,ITALY,SERIE B - ROUND 21,Salernitana,Sassuolo,3.9,3.5,1.88
12.01.2025,08:30,ITALY,SERIE A - ROUND 20,Genoa,Parma,1.95,3.5,3.75
12.01.2025,09:00,WORLD,CLUB FRIENDLY,Zurich (Sui),U. Cluj (Rou),1.65,3.5,4.4
12.01.2025,09:00,THAILAND,THAI LEAGUE 1 - ROUND 16,Bangkok Utd,Buriram,1.8,3.2,4.4
12.01.2025,09:00,KENYA,PREMIER LEAGUE - ROUND 17,Bidco United,Muranga,2.55,3.2,2.7
12.01.2025,09:00,ITALY,PRIMAVERA 1 - ROUND 19,Empoli U20,Cesena U20,2.55,3.2,2.7
12.01.2025,09:00,ITALY,PRIMAVERA 1 - ROUND 19,Cagliari U20,Cremonese U20,2.55,3.2,2.7
12.01.2025,09:00,ENGLAND,FA CUP - 1/32-FINALS,Hull,Doncaster,1.73,4.0,4.33
12.01.2025,09:00,DR CONGO,LIGUE 1 - ROUND 14,AS Vita Club,AC Rangers,3.1,3.25,2.05
12.01.2025,09:00,INDONESIA,LIGA 1 - ROUND 18,Bali United,Persik Kediri,1.15,8.0,16.0
